scenario,run_id,category,outcome,mean_pos_error,rmse_pos,max_pos_error,mean_yaw_error,path_length,duration,path_efficiency,mean_velocity,smoothness,amcl_uncertainty,max_amcl_uncertainty,anomaly_count,anomalies
small-dataset-maps-door-size-0-5-1f4-2,2,door-width,failure,0.05473397754148982,0.060782452015738855,0.11413501992803204,0.030000566189587567,6.483045470135411,162.0,0.9627485483153675,0.04005093427617196,0.15994651074784416,0.14142135623730948,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-1,0,door-width,success,0.06681392825606211,0.07359205010976624,0.13906508939424458,0.014433911442887911,18.5895613265285,102.45599999999999,0.9978505759988686,0.18164517964413152,0.38279383114716314,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s1-1,1,door-width,success,0.06648241241903473,0.07273998407826092,0.12872720745896601,0.028765615468652552,16.52882063763843,64.26,1.0000468097852704,0.25753766215826246,0.44215946265328016,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s1-1,2,door-width,success,0.06269526708431976,0.07236464714165819,0.14842572309322727,0.02646214600680812,16.26485329192137,66.52799999999999,1.0084958494136553,0.24476952206262606,0.4552682204166166,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s1-10,0,door-width,failure,0.06038566229767144,0.06397263965932698,0.0921948046590239,0.024776199847643548,7.735051315243818,94.89599999999999,0.9311988029186642,0.08163040053842692,0.4101973242689933,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-10,1,door-width,failure,0.05684287474284003,0.061678058640984725,0.10173394449570569,0.024311899849546546,9.07704772360259,68.04,0.9660651940452121,0.13362756032828046,0.5147747186161433,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-10,2,door-width,failure,0.0623065329983003,0.07022839023366617,0.12686498488010275,0.022073464757131827,7.216810300787938,59.79600000000001,0.9603937448142448,0.120871420259106,0.5909520544189236,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-2,0,door-width,failure,0.08308056219914974,0.09192407344437062,0.13231536363582302,0.022874118669200253,3.808354487636614,30.6,0.9567313707027568,0.12460266615772127,0.5781415685876372,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-2,1,door-width,failure,0.08204044180751571,0.09311546034084818,0.14934536426230435,0.020911234560419177,4.585873625336246,36.9,0.9274113403126159,0.12441558352920505,0.5681104462921825,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-2,2,door-width,failure,0.11521473699487499,0.1312312811115812,0.18891803172517393,0.022178992339280987,3.4828254793505766,25.020000000000003,0.9822353664943317,0.13938403046664272,0.5791164529875191,0.14142135623730953,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-3,0,door-width,failure,0.049839303128574104,0.05793835250760973,0.12324616486587622,0.025542131751897238,14.072340208254793,191.412,0.9424397731230914,0.07356975029357925,0.3111383861372116,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-3,1,door-width,failure,0.04380014629695205,0.051493988202328055,0.10644126478713807,0.026843610915916558,7.391910789264918,59.724,0.9616921838384963,0.12393162889399781,0.49715619495829294,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-3,2,door-width,success,0.05871931169387026,0.061610991539178483,0.10581188083352046,0.018622844440928293,12.984888725174516,103.32000000000001,0.9857132749213785,0.125841007905752,0.37578124534050894,0.14142135623730945,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1s1-4,0,door-width,failure,0.05989213470634343,0.06542798996819131,0.10454795699877374,0.019602882278491218,19.13736235455801,112.428,0.9880951310180953,0.1704454793807359,0.4177180776006491,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-4,1,door-width,success,0.05482703682780172,0.06000940419715713,0.10693813888858503,0.01998355783802383,22.371391646147078,136.764,0.9869811763833637,0.16374895184555302,0.45268490255694277,0.14142135623730948,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1s1-4,2,door-width,failure,0.06257354568976328,0.06751365725550924,0.13580301323923838,0.02527871460678382,19.857828372541427,118.476,0.9760887514250528,0.16775733546148033,0.46707273811040706,0.14142135623730948,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-5,0,door-width,success,0.046785343398591604,0.0549710798225791,0.12533456219400382,0.022158219300258453,13.193205530382635,56.124,0.9866403413812687,0.23554883288784695,0.547901126673243,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s1-5,1,door-width,success,0.0484803165625782,0.05734056171386266,0.13731467981631412,0.03091443590587571,12.996518446338726,59.4,1.0049206206849144,0.2191043166545491,0.5485306859563819,0.14142135623730945,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s1-5,2,door-width,success,0.03642295430840412,0.046031918634986936,0.12123417947481377,0.03086605166221571,13.460429386982993,91.656,0.9851038680822467,0.14707281478949685,0.3851580840919027,0.14142135623730945,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1s1-6,0,door-width,failure,0.04959033819168711,0.05574977698491732,0.13097664973757991,0.02008107036880086,11.277045195429231,98.676,0.9600600476690264,0.1144121282895835,0.4102911643032518,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-6,1,door-width,failure,0.048479124420662344,0.0592295444812172,0.11949146615539319,0.02582147270851859,11.039520481165196,95.976,0.9600717391325995,0.11518577461797709,0.40080745921059413,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-6,2,door-width,failure,0.020133984000605037,0.025996457013772994,0.07937902531839737,0.017017321378645218,6.242337277203435,63.39600000000001,0.9539116028286199,0.09855257521628076,0.33721198680170805,0.1414213562373095,0.1414213562373095,1,goal_failure
